,ticker,ratings
403,LMT,Strong Buy
404,LN,Moderate Buy
405,LNC,Moderate Buy
406,LNT,Moderate Buy
407,LOW,Moderate Buy
408,LPL,Hold
409,LRCX,Moderate Buy
410,LSGOF,Moderate Sell
411,LTRPA,Hold
412,LUV,Moderate Buy
413,LW,Moderate Buy
414,LYB,Moderate Buy
415,M,Moderate Sell
416,MA,Strong Buy
417,MAA,Moderate Buy
418,MAC,Hold
419,MAR,Hold
420,MAS,Moderate Buy
421,MAXR,Hold
422,MBNKF,Moderate Sell
423,MCD,Strong Buy
424,MCHP,Moderate Buy
425,MCK,Moderate Buy
426,MCO,Moderate Buy
427,MCY,Hold
428,MDLZ,Strong Buy
429,MDOMF,Moderate Sell
430,MDT,Moderate Buy
431,MET,Moderate Buy
432,MGI,Moderate Sell
433,MGM,Moderate Buy
434,MHK,Moderate Buy
435,MHVYF,Moderate Sell
436,MKC,Hold
437,MKTX,Hold
438,MLM,Strong Buy
439,MMC,Hold
440,MMM,Hold
441,MN,Strong Sell
442,MNST,Moderate Buy
443,MO,Moderate Buy
